exp_id	parent	kind	phase	subtask	track	backbone	lr	epochs	loss	synth	synth_weight	precision	recall	f1_macro	wall_clock_s	best_train_loss	nan_batches	epochs_done	status	flags	description
exp_0138	-	diagnostic	2	all	enhanced	BAAI/bge-large-en-v1.5	-	-	-	-	-	-	-	-	-	-	-	-	done		[P2.EMB] bge-large embedding index done: 1876 embeddings, shape (1876,1024). Unblocks 0143/0144.
exp_0143	exp_0091	diagnostic	3	st3	enhanced	Qwen/Qwen2.5-3B-Instruct	-	-	-	-	-	0.52947	0.52587	0.52947	-	-	-	-	done	kNN few-shot F1=0.529; ee=0.53 ei=0.89 pe=0.0 pi=0.70; 7.4GB VRAM	[P3.kNN] Qwen-3B kNN-retrieval few-shot ST3 enhanced
exp_0144	exp_0091	diagnostic	3	st3	base	Qwen/Qwen2.5-3B-Instruct	-	-	-	-	-	-	-	-	-	-	-	-	done	done but no metrics saved (write_metrics path bug); low priority	[P3.kNN] Qwen-3B kNN-retrieval few-shot ST3 base
exp_0145	exp_0073	diagnostic	2	st3	enhanced	-	-	-	-	-	-	0.76173	-	-	16.3	-	-	-	done	grid best: ee=0.1 ei=0.1 pe=0.05 pi=0.4 â†’ +2.6pp over argmax	[P2.THRESH] Per-class threshold sweep on ST3 dev probs - target pe recovery
exp_0146	exp_0073	diagnostic	3	st3	enhanced	-	-	-	-	-	-	0.73542	-	-	1.2	-	-	-	done	no improvement; best=weighted_avg(w=0.1)=encoder-only; logreg=0.684; rule=0.536	[P3.META] LLM basis-axis meta-learner: 0073 logits + 0091 basis prediction
exp_0147	-	diagnostic	2	st3	-	-	-	-	-	-	-	-	-	-	0	-	-	-	done	SYSTEM_PROMPT_DIFFERS, RESPONSE_INSTRUCTION_DIFFERS; no per-example comparison (0092 lacks st3_details)	[P2.DIAG] Prompt drift analysis: 0091 zero-shot vs 0092 few-shot side-by-side
exp_0148	exp_0073	diagnostic	2	st3	enhanced	-	-	-	-	-	-	-	-	-	-	-	-	-	queued		[P2.LOGADJ] Post-hoc logit adjustment on 0073 ST3 enh dev probs - class-prior correction (tau sweep)
exp_0149	exp_0069	diagnostic	2	st3	base	-	-	-	-	-	-	-	-	-	-	-	-	-	queued		[P2.LOGADJ] Post-hoc logit adjustment on 0069 ST3 base dev logits - class-prior correction (tau sweep)
exp_0150	exp_0073	train	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo+pe_synth	0.5	-	-	-	-	-	-	-	queued		[P2.COMBO] ST3 enh: aux head + pe synth combined ï¿½ stack independent interventions
exp_0151	exp_0104	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo+pe_synth	0.5	-	-	0.840	3978.4	-	-	-	done		[P2.CV] 5-fold CV of 0104 (pe synth ST3 enh) - pe F1 mean +/- std
exp_0152	exp_0105	diagnostic	2	st3	base	roberta-large	1e-5	15	weighted_ce	synth+pseudo+pe_synth	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV of 0105 (pe synth ST3 base) - pe F1 mean +/- std
exp_0153	exp_0073	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	0.875	4141.0	-	-	-	done		[P2.CV] 5-fold CV baseline (no pe synth) ST3 enh - pe F1 baseline distribution
exp_0154	exp_0104	train	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo+pe_synth	0.5	-	-	-	-	-	-	-	queued		[P2.PE+] pe synth + pe oversampling (every batch) + 10x pe loss weight
exp_0155	exp_0138	diagnostic	2	st3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	queued		[P2.AUDIT] Synth quality: bge cosine sim 100 synth pe vs 8 real pe
exp_0156	exp_0148	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV logit adjustment ST3 enh - was LA rejected on pessimistic dev?
exp_0157	exp_0145	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV per-class threshold ST3 enh - do dev thresholds transfer?
exp_0158	exp_0149	diagnostic	2	st3	base	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV logit adjustment ST3 base - was base pe really intractable?
exp_0159	exp_0093	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV aux head (resembles_fallacy) ST3 enh - honest pe validation
exp_0160	exp_0154	diagnostic	2	st3	enhanced	roberta-large	1e-5	15	weighted_ce	synth+pseudo	0.5	-	-	-	-	-	-	-	queued		[P2.CV] 5-fold CV pe oversampling + 10x weight ST3 enh - honest comparison
exp_0180	-	cv_validation	3	st3	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	0.851	4769.5	-	0	5	done		[H100] Qwen-7B CoT-LoRA 5-fold CV ST3 enh (kNN-3, r=32) â€” CV F1=0.851Â±0.114
exp_0182	-	train	3	st3	enhanced	Qwen/Qwen2.5-32B-Instruct	1e-4	2	ce	-	-	-	-	0.626	3674.5	-	0	2	done		[H100] Qwen-32B CoT-LoRA full train ST3 enh â€” undertrained (25 steps only)
exp_0203	exp_0180	cv_validation	4	st3	base	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	crashed		[L4] Qwen-7B CoT-LoRA 5-fold CV ST3 base â€” timed out
exp_0207	exp_0182	train	4	st3	enhanced	Qwen/Qwen2.5-32B-Instruct	2e-4	3	ce	-	-	-	-	0.841	5526.1	-	0	3	done		[H100] Qwen-32B CoT-LoRA ST3 enh â€” hyperparam fix: grad_accum=4, lr=2e-4
exp_0208	exp_0207	cv_validation	4	st3	enhanced	Qwen/Qwen2.5-32B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	stale		[H100] Qwen-32B CoT-LoRA 5-fold CV â€” decisive comparison with 0180
exp_0209	exp_0180	cv_validation	4	st1	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	running		Q2: Qwen-7B CoT-LoRA ST1 enhanced â€” binary fallacy detection
exp_0210	exp_0180	cv_validation	4	st1	base	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q3: Qwen-7B CoT-LoRA ST1 base â€” no CoT data
exp_0211	exp_0180	cv_validation	4	st2	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q4: Qwen-7B CoT-LoRA ST2 enhanced â€” 8-way fallacy typing
exp_0212	exp_0180	cv_validation	4	st2	base	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q5: Qwen-7B CoT-LoRA ST2 base â€” no CoT data
exp_0213	exp_0180	cv_validation	4	st3	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q6: Qwen-7B CoT-LoRA ST3 enh seed=123 â€” variance reduction
exp_0214	exp_0180	cv_validation	4	st3	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q7: Qwen-7B CoT-LoRA ST3 enh lora_r=64 â€” ensemble diversity
exp_0215	exp_0180	cv_validation	4	st3	enhanced	Qwen/Qwen2.5-7B-Instruct	2e-4	3	ce	-	-	-	-	-	-	-	-	-	queued		Q8: Qwen-7B CoT-LoRA ST3 enh knn_k=5 â€” ensemble diversity
exp_0216	exp_0207	train	4	st3	enhanced	Qwen/Qwen2.5-32B-Instruct	1e-4	4	ce	-	-	-	-	0.841	15004.7	-	0	4	done		[H100] Qwen-32B CoT-LoRA OPTIMISED: r=64, cosine, kNN-8, paged_adamw_8bit
exp_0217	exp_0180	cv_validation	4	st2	enhanced	Qwen/Qwen3-4B-Thinking-2507	2e-4	3	ce	-	-	-	-	0.963	4845	-	0	3	done		★1: Qwen3-4B-Thinking bf16+LoRA ST2 enh — CV F1=0.963, massive jump from 0.851
exp_0218	exp_0180	cv_validation	4	st3	base	Qwen/Qwen3-4B-Thinking-2507	2e-4	3	ce	-	-	-	-	0.448	6211	-	0	3	done		★3: Qwen3-4B-Thinking bf16+LoRA ST3 base — CV F1=0.448, below RoBERTa baseline (0.523)
exp_0219	exp_0180	cv_validation	4	st1	enhanced	Qwen/Qwen3-4B-Thinking-2507	2e-4	3	ce	-	-	-	-	--	-	-	-	-	queued		★2: Qwen3-4B-Thinking bf16+LoRA ST1 enh — binary fallacy detection
exp_0220	-	submission	4	all	both	roberta-large	-	-	-	-	-	-	-	-	-	-	-	-	queued		[TIRA-S1] First full submission: 6 slots all RoBERTa-large. ST3-enh=0073(CV=0.875) chosen over Qwen-32B(CV stale, full=0.841). Non-routed inference, per-subtask files.
exp_0161	exp_0033	train	3	st1	base	roberta-large	1e-5	12	ce	synth_v002_st1st2	0.5	0.769	0.762	0.761	211.9	-	-	-	done	early_stopped	ST1 base raw_concat (text_raw+text_base) max_len=512 - SUBMITTED st1_base run (loaded by generate_submissions.py); +0.027 over exp_0033. Backfilled from exp_0161/metrics.json; was not originally logged.
